ID_Produk,Bulan,Produk_Variasi,Stok_Awal,Total_Jumlah,Stok_Akhir,Pending,Stok_Status
83,2024-05,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran L",13,3,10,0,Kurang Optimal
84,2024-05,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran M",8,3,5,0,Kurang Optimal
85,2024-05,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran XL",1,1,0,0,Optimal
86,2024-05,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran XL",37,4,33,0,Overstock
10,2024-05,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Boy",1,2,0,1,Understock
11,2024-05,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Girl",82,1,81,0,Overstock
87,2024-05,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Unisex",75,7,68,0,Overstock
20,2024-05,"Kartu Ucapan Kado Bayi - Kertas Kado, Girl",11,3,8,0,Kurang Optimal
13,2024-05,Kertas Kado Bayi - Tidak ada variasi,13,1,12,0,Kurang Optimal
88,2024-05,Kursi Makan 6in1 Merk Sugar Baby - Model K Chair Warna Beige,1,1,0,0,Optimal
89,2024-05,Kursi Makan Lipat Anak Merk Sugar Baby - Warna Pink,16,1,15,0,Kurang Optimal
15,2024-05,Toilet Training Seat Merk Sugar Baby - Warna Biru,2,2,0,0,Optimal
61,2024-06,"8in1 Gift Parcel Bayi Import - Motif Sheep, Usia 3–6 Bulan",23,1,22,0,Overstock
72,2024-06,"8in1 Gift Parcel Bayi Import - Motif Unicorn, Usia 3–6 Bulan",81,1,80,0,Overstock
90,2024-06,"8in1 Gift Parcel Bayi Import - Warna Kuning, Usia 0–3 Bulan",85,1,84,0,Overstock
56,2024-06,"Baju Renang Anak Premium Motif Karakter - Ukuran L, Boy",1,1,0,0,Optimal
48,2024-06,"Baju Renang Anak Premium Motif Karakter - Ukuran S, Boy",38,1,37,0,Overstock
80,2024-06,"Baju Renang Anak Premium Motif Karakter - Ukuran XXL, Boy",91,1,90,0,Overstock
82,2024-06,"Diapers Renang Anak Merk Ocheers - Warna Biru, Ukuran M",71,7,64,0,Overstock
83,2024-06,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran L",73,10,63,0,Overstock
85,2024-06,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran XL",5,4,1,0,Kurang Optimal
91,2024-06,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran L",81,7,74,0,Overstock
86,2024-06,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran XL",8,10,0,2,Understock
92,2024-06,Kursi Lipat Traveling Bayi Merk Sugar Baby  - Warna Hijau,1,1,0,0,Optimal
16,2024-06,Toilet Training Seat Merk Sugar Baby - Warna Pink,79,1,78,0,Overstock
93,2024-07,"5in1 Gift Set Bayi Motif Karakter - Motif Simba, Usia 0–3 Bulan",2,1,1,0,Kurang Optimal
90,2024-07,"8in1 Gift Parcel Bayi Import - Warna Kuning, Usia 0–3 Bulan",47,1,46,0,Overstock
57,2024-07,"Baju Renang Anak Premium Motif Karakter - Ukuran M, Boy",1,1,0,0,Optimal
94,2024-07,"Baju Renang Anak Premium Motif Karakter - Ukuran S, Girl",60,1,59,0,Overstock
80,2024-07,"Baju Renang Anak Premium Motif Karakter - Ukuran XXL, Boy",1,1,0,0,Optimal
82,2024-07,"Diapers Renang Anak Merk Ocheers - Warna Biru, Ukuran M",7,13,0,6,Understock
83,2024-07,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran L",15,19,0,4,Understock
84,2024-07,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran M",5,7,0,2,Understock
85,2024-07,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran XL",45,8,37,0,Overstock
91,2024-07,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran L",17,13,4,0,Kurang Optimal
95,2024-07,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran M",27,16,11,0,Kurang Optimal
86,2024-07,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran XL",48,12,36,0,Overstock
13,2024-07,Kertas Kado Bayi - Tidak ada variasi,1,2,0,1,Understock
55,2024-07,Piano Playmat Merk Sugar Baby - Warna Biru,100,2,98,0,Overstock
75,2024-08,"8in1 Gift Parcel Bayi Import - Motif Mobil Balap Biru, Usia 0–3 Bulan",14,1,13,0,Kurang Optimal
