Tanggal,Total Penjualan (IDR),Total Pesanan,Penjualan per Pesanan,Produk Dilihat,Total Pengunjung,Tingkat Konversi (Pesanan Siap Dikirim),Pesanan Dibatalkan,Penjualan Dibatalkan,Pesanan Dikembalikan,Penjualan Dikembalikan,Pembeli,Total Pembeli Baru,Total Pembeli Saat Ini,Total Potensi Pembeli,Tingkat Pembelian Berulang
5/11/2023,215.37,2,"107.685,00",78,41,"4,88%",0,0,0,0,2,2,0,5,"0,00%"
6/11/2023,161.36,2,"80.680,00",80,34,"5,88%",0,0,0,0,2,2,0,2,"0,00%"
7/11/2023,26.981,1,"26.981,00",68,29,"3,45%",0,0,0,0,1,1,0,3,"0,00%"
8/11/2023,0,0,"0,00",86,37,"0,00%",0,0,0,0,0,0,0,11,"0,00%"
9/11/2023,181.3,2,"90.650,00",91,32,"6,25%",0,0,0,0,2,2,0,4,"0,00%"
10/11/2023,357.885,5,"71.577,00",154,49,"10,20%",0,0,1,110.8,5,5,0,6,"0,00%"
11/11/2023,113.676,2,"56.838,00",77,31,"6,45%",1,69.7,0,0,2,2,0,5,"0,00%"
12/11/2023,0,0,"0,00",54,33,"0,00%",0,0,0,0,0,0,0,6,"0,00%"
13-11-2023,153.2,1,"153.200,00",153,38,"2,63%",0,0,0,0,1,1,0,4,"0,00%"
14-11-2023,478.708,5,"95.741,60",113,36,"13,89%",0,0,0,0,5,5,0,4,"0,00%"
15-11-2023,216.1,4,"54.025,00",110,36,"11,11%",1,63.7,0,0,4,3,1,5,"0,00%"
16-11-2023,209.745,4,"52.436,25",51,22,"18,18%",0,0,0,0,4,3,1,4,"0,00%"
17-11-2023,0,0,"0,00",72,35,"0,00%",0,0,0,0,0,0,0,8,"0,00%"
18-11-2023,57.275,1,"57.275,00",62,30,"3,33%",0,0,0,0,1,1,0,3,"0,00%"
19-11-2023,513.756,2,"256.878,00",95,34,"5,88%",0,0,0,0,2,2,0,3,"0,00%"
20-11-2023,274.031,1,"274.031,00",85,36,"2,78%",0,0,0,0,1,0,1,4,"0,00%"
21-11-2023,174.3,3,"58.100,00",117,40,"7,50%",1,62.8,0,0,3,3,0,7,"0,00%"
22-11-2023,32.604,1,"32.604,00",103,57,"1,75%",0,0,0,0,1,1,0,5,"0,00%"
23-11-2023,33.85,1,"33.850,00",113,45,"2,22%",0,0,0,0,1,1,0,7,"0,00%"
24-11-2023,220.203,2,"110.101,50",133,60,"3,33%",0,0,0,0,2,1,1,7,"0,00%"
25-11-2023,0,0,"0,00",75,40,"0,00%",0,0,0,0,0,0,0,6,"0,00%"
26-11-2023,173.3,1,"173.300,00",116,54,"1,85%",0,0,0,0,1,1,0,8,"0,00%"
27-11-2023,91.352,2,"45.676,00",129,44,"2,27%",1,46.552,0,0,1,1,0,7,"100,00%"
28-11-2023,52.8,1,"52.800,00",97,43,"2,33%",0,0,0,0,1,1,0,9,"0,00%"
29-11-2023,0,0,"0,00",136,54,"0,00%",0,0,0,0,0,0,0,13,"0,00%"
30-11-2023,274.912,3,"91.637,33",137,42,"7,14%",0,0,0,0,3,3,0,5,"0,00%"
1/12/2023,0,0,"0,00",80,31,"0,00%",0,0,0,0,0,0,0,8,"0,00%"
